index,Age,Workclass,Final weight,Education,Marital-status,Occupation,Relationship,Sex,Capital-gain,Capital-loss,Hours per week,Native country,Income
17452,47, Self-emp-inc,119471, 7th-8th, Never-married, Craft-repair, Not-in-family, Male,0,0,40, ?, <=50K
35696,46, Local-gov,364548, Masters, Married-civ-spouse, Prof-specialty, Husband, Male,0,1977,42, United-States, >50K.
2074,36, Local-gov,126569, Some-college, Married-civ-spouse, Protective-serv, Husband, Male,0,0,40, United-States, >50K
9430,27, Private,152683, HS-grad, Married-civ-spouse, Transport-moving, Husband, Male,3908,0,35, United-States, <=50K
24481,42, Self-emp-not-inc,185129, Prof-school, Married-civ-spouse, Prof-specialty, Husband, Male,0,1887,40, United-States, >50K
7964,23, Private,361481, 10th, Married-civ-spouse, Other-service, Husband, Male,0,0,40, ?, <=50K
33974,48, Private,148576, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, Male,0,0,40, United-States, >50K.
32342,26, Private,156805, Some-college, Married-civ-spouse, Machine-op-inspct, Husband, Male,0,0,40, United-States, <=50K
25925,37, State-gov,482927, Some-college, Divorced, Other-service, Not-in-family, Male,0,0,65, United-States, <=50K
42482,40, Private,137421, Masters, Married-spouse-absent, Exec-managerial, Not-in-family, Male,0,0,35, India, >50K.
39676,20, Private,169188, Some-college, Never-married, Other-service, Not-in-family, Female,0,0,30, United-States, <=50K.
17487,28, Private,190911, HS-grad, Married-civ-spouse, Craft-repair, Husband, Male,0,0,40, United-States, <=50K
11903,34, Private,245211, HS-grad, Never-married, Craft-repair, Unmarried, Male,2036,0,30, United-States, <=50K
46039,23, Private,180339, HS-grad, Separated, Other-service, Unmarried, Female,0,0,40, United-States, <=50K.
23841,37, Private,126954, Bachelors, Married-civ-spouse, Exec-managerial, Husband, Male,0,0,50, United-States, >50K
4304,41, Private,221947, Some-college, Married-civ-spouse, Craft-repair, Husband, Male,0,0,56, United-States, >50K
38281,50, Self-emp-inc,249644, HS-grad, Married-civ-spouse, Exec-managerial, Husband, Male,0,0,50, United-States, >50K.
10496,49, Private,165468, HS-grad, Married-civ-spouse, Exec-managerial, Husband, Male,7688,0,55, United-States, >50K
34174,20, ?,123536, Some-college, Never-married, ?, Not-in-family, Female,0,0,40, United-States, <=50K.
13653,38, Private,358682, Some-college, Married-civ-spouse, Handlers-cleaners, Husband, Male,0,0,40, United-States, <=50K
2499,20, Private,51816, HS-grad, Never-married, Protective-serv, Own-child, Male,0,0,40, United-States, <=50K
39914,34, Private,346736, Assoc-acdm, Never-married, Exec-managerial, Own-child, Female,0,0,50, United-States, <=50K.
41615,46, Local-gov,93639, Bachelors, Divorced, Prof-specialty, Unmarried, Female,0,0,40, United-States, <=50K.
9042,28, Private,37933, HS-grad, Never-married, Other-service, Not-in-family, Female,0,0,48, United-States, <=50K
16248,52, Private,160703, HS-grad, Married-civ-spouse, Adm-clerical, Husband, Male,0,0,48, United-States, <=50K
12325,45, Private,187226, Assoc-acdm, Married-civ-spouse, Handlers-cleaners, Husband, Male,0,0,40, United-States, <=50K
13626,21, ?,270043, 10th, Never-married, ?, Unmarried, Female,0,0,30, United-States, <=50K
37971,35, Private,105821, Assoc-voc, Married-civ-spouse, Adm-clerical, Husband, Male,0,0,36, United-States, <=50K.
29525,37, Federal-gov,188069, Some-college, Married-civ-spouse, Adm-clerical, Husband, Male,0,0,40, Philippines, >50K
18153,34, Private,101345, Bachelors, Married-civ-spouse, Sales, Wife, Female,0,0,40, United-States, >50K
14722,31, Private,199883, 12th, Divorced, Transport-moving, Own-child, Male,0,0,40, United-States, <=50K
39208,27, Self-emp-not-inc,95423, Some-college, Married-civ-spouse, Craft-repair, Husband, Male,0,0,60, United-States, <=50K.
27800,25, Private,178037, Some-college, Never-married, Adm-clerical, Own-child, Male,0,0,35, United-States, <=50K
13128,42, Local-gov,174575, Bachelors, Married-civ-spouse, Prof-specialty, Husband, Male,5178,0,40, United-States, >50K
48509,39, Private,206888, Some-college, Divorced, Adm-clerical, Not-in-family, Female,0,0,40, United-States, <=50K.
33663,55, Private,176219, Bachelors, Married-civ-spouse, Machine-op-inspct, Husband, Male,0,0,40, India, <=50K.
11501,37, Private,188774, Bachelors, Married-civ-spouse, Adm-clerical, Husband, Male,0,0,40, United-States, <=50K
48126,42, Private,167650, Some-college, Married-civ-spouse, Machine-op-inspct, Husband, Male,0,0,35, United-States, <=50K.
939,31, Private,111567, Bachelors, Never-married, Sales, Not-in-family, Male,0,0,40, United-States, >50K
27616,23, Private,117363, Bachelors, Never-married, Adm-clerical, Own-child, Female,0,0,40, United-States, <=50K
9836,56, State-gov,54260, Doctorate, Married-civ-spouse, Prof-specialty, Not-in-family, Male,2885,0,40, China, <=50K
35166,41, Private,22419, 9th, Married-civ-spouse, Exec-managerial, Husband, Male,0,0,84, United-States, <=50K.
19253,17, ?,198797, 11th, Never-married, ?, Own-child, Male,0,0,20, Peru, <=50K
28095,33, Private,73054, HS-grad, Divorced, Sales, Unmarried, Female,0,0,40, United-States, <=50K
11849,52, Private,200419, Assoc-acdm, Separated, Prof-specialty, Not-in-family, Female,0,0,50, United-States, <=50K
34000,19, ?,218171, Some-college, Never-married, ?, Own-child, Male,0,0,2, South, <=50K.
10178,43, Private,173316, Some-college, Married-civ-spouse, Craft-repair, Husband, Male,0,0,40, United-States, <=50K
34817,45, ?,69596, 10th, Divorced, ?, Unmarried, Female,0,0,40, United-States, <=50K.
10287,67, Self-emp-not-inc,139960, 7th-8th, Married-civ-spouse, Craft-repair, Husband, Male,0,0,40, United-States, <=50K
26378,59, Federal-gov,178660, Assoc-acdm, Married-civ-spouse, Adm-clerical, Husband, Male,0,0,40, United-States, <=50K
10843,27, Private,37088, Bachelors, Married-civ-spouse, Tech-support, Husband, Male,0,0,30, United-States, <=50K
36861,63, Local-gov,214275, HS-grad, Divorced, Other-service, Unmarried, Female,0,0,55, United-States, <=50K.
9959,40, Private,294708, HS-grad, Married-civ-spouse, Transport-moving, Husband, Male,0,0,40, United-States, >50K
474,67, Private,49401, Assoc-voc, Divorced, Other-service, Not-in-family, Female,0,0,24, United-States, <=50K
15122,57, Self-emp-not-inc,177271, Doctorate, Married-civ-spouse, Prof-specialty, Husband, Male,0,0,35, United-States, <=50K
5048,30, Private,296509, 7th-8th, Separated, Farming-fishing, Not-in-family, Male,0,0,45, Mexico, <=50K
24609,32, Private,202498, 11th, Married-civ-spouse, Handlers-cleaners, Husband, Male,0,0,40, Columbia, <=50K
1994,30, Private,204704, Bachelors, Never-married, Exec-managerial, Unmarried, Female,0,0,45, United-States, >50K
2691,64, Self-emp-not-inc,100722, Bachelors, Married-civ-spouse, Adm-clerical, Husband, Male,0,0,5, United-States, <=50K
11895,32, Private,194901, HS-grad, Married-civ-spouse, Adm-clerical, Husband, Male,0,0,40, United-States, <=50K
24743,48, Self-emp-not-inc,197702, Some-college, Married-civ-spouse, Transport-moving, Husband, Male,0,0,40, United-States, <=50K
20314,23, ?,296613, Some-college, Never-married, ?, Own-child, Female,0,0,32, United-States, <=50K
17474,17, Private,168203, 7th-8th, Never-married, Farming-fishing, Other-relative, Male,0,0,40, Mexico, <=50K
10797,40, Private,124915, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, Male,0,0,40, United-States, <=50K
24894,62, ?,141218, Masters, Married-civ-spouse, ?, Husband, Male,0,0,30, United-States, >50K
37294,46, Self-emp-not-inc,97176, Some-college, Married-civ-spouse, Exec-managerial, Wife, Female,0,0,50, United-States, <=50K.
212,35, Private,153790, Some-college, Never-married, Sales, Not-in-family, Female,0,0,40, United-States, <=50K
10650,30, Private,291951, HS-grad, Married-civ-spouse, Craft-repair, Husband, Male,0,0,40, United-States, <=50K
7589,46, Local-gov,202560, Bachelors, Divorced, Prof-specialty, Not-in-family, Female,0,1408,40, United-States, <=50K
14734,30, Private,77266, HS-grad, Married-civ-spouse, Craft-repair, Husband, Male,0,0,60, United-States, <=50K
1662,43, Private,184378, Bachelors, Never-married, Prof-specialty, Not-in-family, Male,0,0,40, United-States, <=50K
28019,35, Private,340428, Assoc-acdm, Never-married, Adm-clerical, Not-in-family, Female,0,0,35, United-States, <=50K
26859,26, Private,160300, HS-grad, Never-married, Machine-op-inspct, Own-child, Male,0,0,40, United-States, <=50K
20146,23, Private,344278, Some-college, Divorced, Exec-managerial, Unmarried, Female,0,0,25, United-States, <=50K
44704,51, Private,207419, HS-grad, Divorced, Craft-repair, Not-in-family, Male,0,0,60, United-States, <=50K.
12629,48, Federal-gov,96854, Some-college, Never-married, Adm-clerical, Not-in-family, Male,0,0,30, United-States, <=50K
19587,61, Private,128230, HS-grad, Married-civ-spouse, Prof-specialty, Husband, Male,0,0,30, United-States, <=50K
9556,44, Private,223308, Masters, Separated, Sales, Unmarried, Female,0,0,48, United-States, <=50K
34261,52, Private,191130, Prof-school, Married-civ-spouse, Prof-specialty, Husband, Male,15024,0,40, United-States, >50K.
3493,35, Private,148903, HS-grad, Married-civ-spouse, Other-service, Wife, Female,0,0,16, United-States, >50K
34541,51, Local-gov,99064, Masters, Married-civ-spouse, Prof-specialty, Husband, Male,0,0,35, United-States, <=50K.
5012,33, State-gov,79440, Masters, Never-married, Prof-specialty, Not-in-family, Male,0,0,30, Japan, <=50K
4036,24, Private,199444, Bachelors, Never-married, Exec-managerial, Own-child, Female,0,0,15, United-States, <=50K
43843,73, Self-emp-not-inc,268832, HS-grad, Married-civ-spouse, Farming-fishing, Husband, Male,0,0,45, United-States, <=50K.
25209,41, Private,425049, HS-grad, Married-civ-spouse, Transport-moving, Husband, Male,0,0,50, United-States, >50K
32257,51, Self-emp-inc,213296, HS-grad, Married-civ-spouse, Other-service, Husband, Male,0,0,30, United-States, <=50K
33104,37, Private,178100, Bachelors, Divorced, Exec-managerial, Not-in-family, Female,0,0,40, United-States, >50K.
6996,25, Private,394503, Some-college, Married-civ-spouse, Sales, Husband, Male,0,0,40, United-States, <=50K
37551,26, ?,292803, Some-college, Divorced, ?, Other-relative, Female,0,0,35, United-States, <=50K.
199,24, Self-emp-not-inc,32921, HS-grad, Never-married, Sales, Not-in-family, Male,0,0,40, United-States, <=50K
47386,24, Private,387663, Some-college, Married-spouse-absent, Farming-fishing, Unmarried, Female,0,0,40, United-States, <=50K.
41207,28, State-gov,198201, HS-grad, Married-civ-spouse, Protective-serv, Husband, Male,0,0,40, United-States, <=50K.
4450,26, Self-emp-inc,242651, Some-college, Never-married, Sales, Not-in-family, Male,0,0,48, United-States, <=50K
34974,29, Private,112776, HS-grad, Divorced, Exec-managerial, Unmarried, Female,0,0,45, United-States, <=50K.
24953,30, Self-emp-not-inc,196342, Some-college, Never-married, Sales, Own-child, Male,0,0,25, United-States, <=50K
11901,40, Private,214242, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, Male,0,0,50, United-States, <=50K
4380,35, Private,340110, Bachelors, Married-civ-spouse, Exec-managerial, Husband, Male,0,1848,70, United-States, >50K
16132,47, Private,344916, Assoc-acdm, Divorced, Transport-moving, Not-in-family, Male,0,0,40, United-States, <=50K
23309,57, Private,133902, HS-grad, Widowed, Exec-managerial, Unmarried, Female,0,0,45, United-States, <=50K
48680,34, Private,177437, 10th, Married-civ-spouse, Transport-moving, Husband, Male,0,0,60, United-States, <=50K.
6081,30, Private,188403, Some-college, Never-married, Machine-op-inspct, Not-in-family, Male,0,0,40, United-States, <=50K
23568,41, Private,40151, Some-college, Divorced, Craft-repair, Not-in-family, Male,0,0,40, United-States, >50K
8099,32, Private,259719, Some-college, Divorced, Handlers-cleaners, Unmarried, Male,0,0,40, Nicaragua, <=50K
14765,42, Private,70055, 11th, Married-civ-spouse, Transport-moving, Husband, Male,0,0,45, United-States, <=50K
42991,25, Private,152246, Some-college, Never-married, Handlers-cleaners, Own-child, Male,0,0,40, Outlying-US(Guam-USVI-etc), <=50K.
10127,45, Private,34248, HS-grad, Married-civ-spouse, Sales, Husband, Male,0,0,50, United-States, <=50K
7057,20, Self-emp-not-inc,112137, Some-college, Never-married, Prof-specialty, Other-relative, Female,0,0,20, South, <=50K
17612,60, Self-emp-inc,105339, Bachelors, Married-civ-spouse, Exec-managerial, Husband, Male,7298,0,60, United-States, >50K
38186,59, Local-gov,173992, HS-grad, Separated, Adm-clerical, Unmarried, Female,0,0,35, United-States, <=50K.
42643,38, Private,222573, HS-grad, Separated, Machine-op-inspct, Unmarried, Female,0,0,40, United-States, <=50K.
22206,40, Self-emp-inc,144371, Bachelors, Married-civ-spouse, Craft-repair, Husband, Male,0,0,15, United-States, <=50K
29337,21, Federal-gov,181096, Some-college, Never-married, Tech-support, Own-child, Male,0,0,20, United-States, <=50K
13632,31, State-gov,157673, HS-grad, Married-civ-spouse, Farming-fishing, Husband, Male,0,0,40, United-States, <=50K
48423,39, ?,238721, Bachelors, Divorced, ?, Own-child, Female,0,0,40, United-States, <=50K.
34124,57, Local-gov,167457, 7th-8th, Divorced, Exec-managerial, Unmarried, Female,0,0,40, United-States, <=50K.
16170,39, Private,47871, Bachelors, Divorced, Exec-managerial, Unmarried, Female,0,0,50, United-States, >50K
29993,25, Private,186370, HS-grad, Married-civ-spouse, Handlers-cleaners, Husband, Male,0,0,40, United-States, <=50K
47604,52, Private,224198, HS-grad, Married-civ-spouse, Exec-managerial, Wife, Female,0,0,45, United-States, <=50K.
28268,21, Private,209955, HS-grad, Never-married, Craft-repair, Not-in-family, Male,0,0,48, United-States, <=50K
12459,28, Private,221366, Some-college, Never-married, Craft-repair, Own-child, Male,0,0,40, United-States, <=50K
40052,36, Federal-gov,125933, Bachelors, Never-married, Prof-specialty, Own-child, Male,0,2258,40, United-States, <=50K.
32653,49, Federal-gov,77443, 7th-8th, Never-married, Other-service, Not-in-family, Male,0,0,20, United-States, <=50K.
47992,55, Self-emp-not-inc,376548, HS-grad, Married-civ-spouse, Farming-fishing, Husband, Male,0,0,50, United-States, <=50K.
36619,68, Private,99849, HS-grad, Widowed, Machine-op-inspct, Not-in-family, Female,0,0,28, United-States, <=50K.
9842,46, Self-emp-inc,276934, Bachelors, Married-civ-spouse, Sales, Husband, Male,0,0,70, United-States, >50K
9097,33, Local-gov,96480, Masters, Never-married, Prof-specialty, Not-in-family, Female,0,0,40, Germany, <=50K
2390,30, Self-emp-inc,78530, HS-grad, Married-civ-spouse, Exec-managerial, Husband, Male,0,0,65, Canada, >50K
1520,47, Local-gov,246891, Bachelors, Married-civ-spouse, Protective-serv, Husband, Male,0,0,40, United-States, <=50K
13985,44, Private,134120, HS-grad, Married-civ-spouse, Adm-clerical, Wife, Female,0,0,40, United-States, >50K
22247,67, Local-gov,191800, Bachelors, Divorced, Adm-clerical, Unmarried, Female,6360,0,35, United-States, <=50K
40554,40, Private,41888, Some-college, Married-civ-spouse, Transport-moving, Husband, Male,0,2415,70, United-States, >50K.
9747,24, Private,194604, Bachelors, Never-married, Sales, Own-child, Female,0,0,15, United-States, <=50K
25661,47, Local-gov,216657, Masters, Never-married, Prof-specialty, Not-in-family, Male,0,0,35, United-States, >50K
24108,41, Private,344624, Bachelors, Divorced, Exec-managerial, Not-in-family, Male,0,0,50, United-States, >50K
13053,24, State-gov,163480, Masters, Never-married, Adm-clerical, Not-in-family, Female,0,0,40, United-States, <=50K
45276,40, Private,83508, Bachelors, Married-civ-spouse, Tech-support, Wife, Female,0,0,20, United-States, <=50K.
2522,46, Private,133169, Assoc-voc, Married-civ-spouse, Craft-repair, Husband, Male,0,0,40, United-States, <=50K
15801,34, Private,242960, Assoc-voc, Married-civ-spouse, Craft-repair, Husband, Male,0,0,50, United-States, <=50K
19964,30, Private,328242, Bachelors, Married-civ-spouse, Exec-managerial, Husband, Male,0,0,40, Hong, >50K
10603,20, Private,279763, 11th, Never-married, Craft-repair, Not-in-family, Male,0,0,25, United-States, <=50K
15259,60, Private,114263, Bachelors, Divorced, Exec-managerial, Not-in-family, Female,0,0,40, Hungary, >50K
17775,69, Self-emp-not-inc,89477, Some-college, Widowed, Farming-fishing, Not-in-family, Female,0,0,14, United-States, <=50K
39203,22, Private,287681, 11th, Never-married, Farming-fishing, Other-relative, Male,0,0,40, Mexico, <=50K.
39671,22, Self-emp-not-inc,174907, Some-college, Never-married, Prof-specialty, Own-child, Female,0,0,15, United-States, <=50K.
21674,23, Private,312017, Some-college, Never-married, Exec-managerial, Not-in-family, Male,0,0,40, United-States, <=50K
19591,41, Private,315834, Bachelors, Never-married, Prof-specialty, Not-in-family, Female,0,1876,40, United-States, <=50K
43597,37, Private,78374, HS-grad, Married-civ-spouse, Adm-clerical, Wife, Female,0,0,38, Japan, <=50K.
16172,45, Private,175625, HS-grad, Separated, Adm-clerical, Unmarried, Female,0,0,38, United-States, <=50K
22989,52, Federal-gov,38973, Bachelors, Separated, Adm-clerical, Unmarried, Female,0,0,40, United-States, <=50K
44007,19, Private,310483, 12th, Never-married, Other-service, Own-child, Male,0,0,25, United-States, <=50K.
42574,38, Private,131827, Bachelors, Married-civ-spouse, Craft-repair, Husband, Male,0,0,70, United-States, <=50K.
47868,34, Self-emp-not-inc,143078, Assoc-voc, Never-married, Other-service, Not-in-family, Male,0,0,40, United-States, <=50K.
38768,28, Private,89813, HS-grad, Divorced, Handlers-cleaners, Not-in-family, Female,0,0,40, United-States, <=50K.
47086,55, Private,426263, HS-grad, Married-civ-spouse, Adm-clerical, Husband, Male,0,0,40, United-States, <=50K.
14668,30, Private,185027, Bachelors, Married-civ-spouse, Prof-specialty, Husband, Male,0,0,40, United-States, >50K
41934,20, Private,510643, HS-grad, Never-married, Transport-moving, Not-in-family, Male,0,0,40, United-States, <=50K.
30400,50, Self-emp-inc,152810, Some-college, Married-civ-spouse, Machine-op-inspct, Husband, Male,0,0,70, Germany, <=50K
6934,56, Private,290641, Bachelors, Married-civ-spouse, Exec-managerial, Husband, Male,0,0,50, United-States, >50K
33203,30, ?,126402, 11th, Never-married, ?, Unmarried, Female,0,0,40, United-States, <=50K.
42809,20, Private,173095, Some-college, Never-married, Sales, Own-child, Female,0,0,4, United-States, <=50K.
16503,21, State-gov,39236, Some-college, Never-married, Prof-specialty, Not-in-family, Female,0,0,8, United-States, <=50K
27456,40, Private,91959, Bachelors, Married-civ-spouse, Prof-specialty, Husband, Male,0,0,46, United-States, >50K
6558,21, ?,170038, Some-college, Never-married, ?, Own-child, Female,0,0,40, United-States, <=50K
8270,43, Private,118308, Bachelors, Married-civ-spouse, Prof-specialty, Husband, Male,0,1977,50, United-States, >50K
1871,31, Private,226756, HS-grad, Never-married, Adm-clerical, Own-child, Male,0,0,40, United-States, <=50K
30452,39, Private,294919, HS-grad, Divorced, Transport-moving, Own-child, Male,0,0,60, United-States, <=50K
43625,28, Private,110408, HS-grad, Married-civ-spouse, Sales, Husband, Male,0,0,45, United-States, <=50K.
46276,71, Self-emp-not-inc,157845, Bachelors, Married-civ-spouse, Sales, Husband, Male,0,0,20, United-States, <=50K.
42610,40, Private,359389, Bachelors, Divorced, Other-service, Unmarried, Female,0,0,40, Philippines, <=50K.
37537,62, Private,143746, HS-grad, Divorced, Other-service, Not-in-family, Female,0,0,40, United-States, <=50K.
21350,18, Private,112974, 11th, Never-married, Prof-specialty, Other-relative, Male,0,0,3, United-States, <=50K
33047,41, Private,311101, HS-grad, Divorced, Craft-repair, Not-in-family, Male,0,0,40, United-States, <=50K.
16662,41, Private,156566, Some-college, Married-civ-spouse, Craft-repair, Husband, Male,0,0,40, United-States, >50K
8814,34, Private,159255, HS-grad, Married-civ-spouse, Exec-managerial, Husband, Male,0,0,60, United-States, >50K
25211,42, Self-emp-not-inc,29320, Prof-school, Divorced, Prof-specialty, Unmarried, Male,0,0,60, United-States, >50K
3315,68, Private,75913, 12th, Widowed, Sales, Not-in-family, Female,0,0,30, United-States, <=50K
41336,49, Private,90907, Some-college, Married-civ-spouse, Adm-clerical, Husband, Male,0,0,40, Outlying-US(Guam-USVI-etc), >50K.
16313,28, Private,124680, Bachelors, Never-married, Exec-managerial, Not-in-family, Female,6849,0,60, United-States, <=50K
20849,76, Private,127016, 7th-8th, Widowed, Priv-house-serv, Not-in-family, Female,0,0,40, United-States, <=50K
32842,35, Federal-gov,413930, HS-grad, Married-civ-spouse, Craft-repair, Husband, Male,0,0,40, United-States, >50K.
9279,31, Private,110554, HS-grad, Married-civ-spouse, Machine-op-inspct, Wife, Female,4386,0,40, United-States, >50K
37556,53, Self-emp-inc,368014, Prof-school, Married-civ-spouse, Prof-specialty, Husband, Male,0,1977,60, United-States, >50K.
6098,58, Private,117477, HS-grad, Divorced, Adm-clerical, Unmarried, Female,0,0,36, United-States, <=50K
39271,22, Private,207969, Some-college, Never-married, Exec-managerial, Own-child, Male,0,0,35, United-States, <=50K.
6252,26, Private,133373, Some-college, Never-married, Sales, Own-child, Male,0,0,42, United-States, <=50K
20834,47, Private,115613, HS-grad, Married-civ-spouse, Craft-repair, Husband, Male,0,0,50, United-States, >50K
27428,55, Self-emp-not-inc,477867, Bachelors, Married-civ-spouse, Exec-managerial, Husband, Male,0,0,40, United-States, >50K
31771,26, Private,31143, Some-college, Never-married, Craft-repair, Not-in-family, Male,0,0,40, United-States, <=50K
11558,32, Private,188245, 11th, Never-married, Priv-house-serv, Unmarried, Female,0,0,40, United-States, <=50K
13048,28, Private,116372, Bachelors, Never-married, Exec-managerial, Not-in-family, Female,0,0,60, United-States, <=50K
42026,32, State-gov,204052, Bachelors, Married-civ-spouse, Prof-specialty, Husband, Male,0,0,45, United-States, >50K.
8191,40, Local-gov,105717, Masters, Never-married, Adm-clerical, Not-in-family, Female,0,1876,35, United-States, <=50K
3725,18, ?,298133, Some-college, Never-married, ?, Own-child, Male,0,0,40, United-States, <=50K
12378,27, Self-emp-not-inc,420054, HS-grad, Never-married, Craft-repair, Unmarried, Male,9562,0,50, United-States, >50K
44111,37, Private,376455, Some-college, Married-civ-spouse, Exec-managerial, Husband, Male,0,0,40, United-States, >50K.
33761,51, Local-gov,181132, Masters, Separated, Prof-specialty, Not-in-family, Male,0,0,39, United-States, >50K.
